patent_no,http,url
4375430,https://www.google.com/patents/US,
4375434,https://www.google.com/patents/US,
4376076,https://www.google.com/patents/US,
4376204,https://www.google.com/patents/US,
4377521,https://www.google.com/patents/US,
4377524,https://www.google.com/patents/US,
4377581,https://www.google.com/patents/US,
4377590,https://www.google.com/patents/US,
4379783,https://www.google.com/patents/US,
4380542,https://www.google.com/patents/US,
4381263,https://www.google.com/patents/US,
4381308,https://www.google.com/patents/US,
4382085,https://www.google.com/patents/US,
4382086,https://www.google.com/patents/US,
4382822,https://www.google.com/patents/US,
4386205,https://www.google.com/patents/US,
4387229,https://www.google.com/patents/US,
4387235,https://www.google.com/patents/US,
4390670,https://www.google.com/patents/US,
4390709,https://www.google.com/patents/US,
4391827,https://www.google.com/patents/US,
4393001,https://www.google.com/patents/US,
4395394,https://www.google.com/patents/US,
4397783,https://www.google.com/patents/US,
4399163,https://www.google.com/patents/US,
4399296,https://www.google.com/patents/US,
4400385,https://www.google.com/patents/US,
4404216,https://www.google.com/patents/US,
4404219,https://www.google.com/patents/US,
4404372,https://www.google.com/patents/US,
4405626,https://www.google.com/patents/US,
4406798,https://www.google.com/patents/US,
4406888,https://www.google.com/patents/US,
4407811,https://www.google.com/patents/US,
4407953,https://www.google.com/patents/US,
4410539,https://www.google.com/patents/US,
4411892,https://www.google.com/patents/US,
4411925,https://www.google.com/patents/US,
4412762,https://www.google.com/patents/US,
4412958,https://www.google.com/patents/US,
4413119,https://www.google.com/patents/US,
4414220,https://www.google.com/patents/US,
4414388,https://www.google.com/patents/US,
4419284,https://www.google.com/patents/US,
4419521,https://www.google.com/patents/US,
4420426,https://www.google.com/patents/US,
4421924,https://www.google.com/patents/US,
4423048,https://www.google.com/patents/US,
4423233,https://www.google.com/patents/US,
4427678,https://www.google.com/patents/US,
4427679,https://www.google.com/patents/US,
4428935,https://www.google.com/patents/US,
4429116,https://www.google.com/patents/US,
4429128,https://www.google.com/patents/US,
4430333,https://www.google.com/patents/US,
4430337,https://www.google.com/patents/US,
4431646,https://www.google.com/patents/US,
4431649,https://www.google.com/patents/US,
4431801,https://www.google.com/patents/US,
4431810,https://www.google.com/patents/US,
4431828,https://www.google.com/patents/US,
4432903,https://www.google.com/patents/US,
4432970,https://www.google.com/patents/US,
4432978,https://www.google.com/patents/US,
4432987,https://www.google.com/patents/US,
4434163,https://www.google.com/patents/US,
4434164,https://www.google.com/patents/US,
4434173,https://www.google.com/patents/US,
4435396,https://www.google.com/patents/US,
4435399,https://www.google.com/patents/US,
4435401,https://www.google.com/patents/US,
4435578,https://www.google.com/patents/US,
4435584,https://www.google.com/patents/US,
4436747,https://www.google.com/patents/US,
4442114,https://www.google.com/patents/US,
4443621,https://www.google.com/patents/US,
4444686,https://www.google.com/patents/US,
D273704,https://www.google.com/patents/US,
4448732,https://www.google.com/patents/US,
4448781,https://www.google.com/patents/US,
4448971,https://www.google.com/patents/US,
4449929,https://www.google.com/patents/US,
4450136,https://www.google.com/patents/US,
4450237,https://www.google.com/patents/US,
4451472,https://www.google.com/patents/US,
4451655,https://www.google.com/patents/US,
4451661,https://www.google.com/patents/US,
4452796,https://www.google.com/patents/US,
4452806,https://www.google.com/patents/US,
4452987,https://www.google.com/patents/US,
4454144,https://www.google.com/patents/US,
4454314,https://www.google.com/patents/US,
4454320,https://www.google.com/patents/US,
4454328,https://www.google.com/patents/US,
4455421,https://www.google.com/patents/US,
4456753,https://www.google.com/patents/US,
4457924,https://www.google.com/patents/US,
4457939,https://www.google.com/patents/US,
4458070,https://www.google.com/patents/US,
4458753,https://www.google.com/patents/US,
4462934,https://www.google.com/patents/US,
4464380,https://www.google.com/patents/US,
4464527,https://www.google.com/patents/US,
4465626,https://www.google.com/patents/US,
4465674,https://www.google.com/patents/US,
4466889,https://www.google.com/patents/US,
4466974,https://www.google.com/patents/US,
4467090,https://www.google.com/patents/US,
4468351,https://www.google.com/patents/US,
4468516,https://www.google.com/patents/US,
4469866,https://www.google.com/patents/US,
4471124,https://www.google.com/patents/US,
4471139,https://www.google.com/patents/US,
4473704,https://www.google.com/patents/US,
4474698,https://www.google.com/patents/US,
4474768,https://www.google.com/patents/US,
4474967,https://www.google.com/patents/US,
4476131,https://www.google.com/patents/US,
4476307,https://www.google.com/patents/US,
4476312,https://www.google.com/patents/US,
4477669,https://www.google.com/patents/US,
4477671,https://www.google.com/patents/US,
4478748,https://www.google.com/patents/US,
4481032,https://www.google.com/patents/US,
4482558,https://www.google.com/patents/US,
4482723,https://www.google.com/patents/US,
4483857,https://www.google.com/patents/US,
4483859,https://www.google.com/patents/US,
4483862,https://www.google.com/patents/US,
4483863,https://www.google.com/patents/US,
4483982,https://www.google.com/patents/US,
4485223,https://www.google.com/patents/US,
4486411,https://www.google.com/patents/US,
4486428,https://www.google.com/patents/US,
4486581,https://www.google.com/patents/US,
4486609,https://www.google.com/patents/US,
4488994,https://www.google.com/patents/US,
4489075,https://www.google.com/patents/US,
4489083,https://www.google.com/patents/US,
4491583,https://www.google.com/patents/US,
4492688,https://www.google.com/patents/US,
4495187,https://www.google.com/patents/US,
4495284,https://www.google.com/patents/US,
4496546,https://www.google.com/patents/US,
4496572,https://www.google.com/patents/US,
4499017,https://www.google.com/patents/US,
4500535,https://www.google.com/patents/US,
4502990,https://www.google.com/patents/US,
